Player Stats Log
==================================================

==================================================
Processing stats for player 879707 (limited range: 2023–2025)
==================================================
879707 Points thresholds in season 2023 - 2024:

Detailed game stats for minimum scored points of 10:
  Date: 2025-02-07 | Event ID: 2693802 | Points: 33
  Date: 2025-02-10 | Event ID: 2693844 | Points: 23
  Date: 2025-02-12 | Event ID: 2694035 | Points: 21
  Date: 2025-02-20 | Event ID: 2693689 | Points: 26
  Date: 2025-02-21 | Event ID: 2693845 | Points: 27
  Date: 2025-02-23 | Event ID: 2693846 | Points: 33
  Date: 2025-02-25 | Event ID: 2694430 | Points: 11
  Date: 2025-02-28 | Event ID: 2693653 | Points: 41
  Date: 2025-03-04 | Event ID: 2693790 | Points: 28
  Date: 2025-03-05 | Event ID: 2693850 | Points: 26
  Date: 2025-03-07 | Event ID: 2693733 | Points: 24
  Date: 2025-03-09 | Event ID: 2694554 | Points: 15
  Date: 2025-03-16 | Event ID: 2693853 | Points: 23
  Date: 2025-03-18 | Event ID: 2694375 | Points: 18
  Date: 2025-03-19 | Event ID: 2694294 | Points: 26
  Date: 2025-03-23 | Event ID: 2693922 | Points: 16
  Date: 2025-03-27 | Event ID: 2693854 | Points: 25
  Date: 2025-03-28 | Event ID: 2694049 | Points: 38
  Date: 2025-03-30 | Event ID: 2693855 | Points: 24
  Date: 2025-04-02 | Event ID: 2693856 | Points: 27
  Date: 2025-04-04 | Event ID: 2694202 | Points: 26
  Date: 2025-04-06 | Event ID: 2693858 | Points: 19
