Player Stats Log
==================================================

==================================================
Processing stats for player 1186160 (limited date range)
==================================================
1186160 Points thresholds in season 2020 - 2021:

Detailed game stats for minimum scored points of 30:
  Date: 2021-01-09 | Event ID: 2292402 | Points: 39
  Date: 2021-05-16 | Event ID: 2314126 | Points: 30
1186160 Points thresholds in season 2021 - 2022:

Detailed game stats for minimum scored points of 30:
  Date: 2021-11-09 | Event ID: 2374781 | Points: 31
  Date: 2021-11-11 | Event ID: 2374784 | Points: 33
  Date: 2022-01-31 | Event ID: 2374830 | Points: 33
  Date: 2022-03-04 | Event ID: 2374852 | Points: 33
  Date: 2022-04-05 | Event ID: 2374448 | Points: 30
1186160 Points thresholds in season 2022 - 2023:

Detailed game stats for minimum scored points of 30:
  Date: 2022-10-26 | Event ID: 2484351 | Points: 31
  Date: 2022-10-28 | Event ID: 2484354 | Points: 44
  Date: 2022-11-02 | Event ID: 2485157 | Points: 32
  Date: 2022-11-04 | Event ID: 2485158 | Points: 31
  Date: 2023-01-21 | Event ID: 2485381 | Points: 32
  Date: 2023-03-18 | Event ID: 2485004 | Points: 31
  Date: 2023-03-25 | Event ID: 2485345 | Points: 37
1186160 Points thresholds in season 2023 - 2024:

Detailed game stats for minimum scored points of 30:
  Date: 2023-11-21 | Event ID: 2591010 | Points: 30
  Date: 2023-10-26 | Event ID: 2591469 | Points: 31
  Date: 2023-10-28 | Event ID: 2590477 | Points: 34
  Date: 2023-11-12 | Event ID: 2591003 | Points: 50
  Date: 2023-11-27 | Event ID: 2591012 | Points: 31
  Date: 2023-11-29 | Event ID: 2591366 | Points: 33
  Date: 2023-12-08 | Event ID: 2614227 | Points: 30
  Date: 2023-12-20 | Event ID: 2591020 | Points: 35
  Date: 2023-12-22 | Event ID: 2591022 | Points: 33
  Date: 2023-12-29 | Event ID: 2591533 | Points: 42
  Date: 2024-01-10 | Event ID: 2590510 | Points: 35
  Date: 2024-01-19 | Event ID: 2591096 | Points: 32
  Date: 2024-02-01 | Event ID: 2590438 | Points: 51
  Date: 2024-02-14 | Event ID: 2591041 | Points: 30
  Date: 2024-02-22 | Event ID: 2591044 | Points: 35
  Date: 2024-02-27 | Event ID: 2590458 | Points: 32
  Date: 2024-03-01 | Event ID: 2591050 | Points: 33
  Date: 2024-03-14 | Event ID: 2591511 | Points: 30
  Date: 2024-03-16 | Event ID: 2591058 | Points: 30
  Date: 2024-03-18 | Event ID: 2591059 | Points: 30
  Date: 2024-04-04 | Event ID: 2591352 | Points: 37
  Date: 2024-04-07 | Event ID: 2590713 | Points: 52
1186160 Points thresholds in season 2024 - 2025:

Detailed game stats for minimum scored points of 30:
  Date: 2024-10-27 | Event ID: 2694241 | Points: 45
  Date: 2024-10-30 | Event ID: 2694531 | Points: 32
  Date: 2024-11-04 | Event ID: 2694500 | Points: 32
  Date: 2024-11-27 | Event ID: 2694570 | Points: 39
  Date: 2024-12-16 | Event ID: 2716382 | Points: 40
  Date: 2024-12-23 | Event ID: 2694583 | Points: 32
  Date: 2024-12-25 | Event ID: 2693640 | Points: 33
  Date: 2024-12-28 | Event ID: 2693866 | Points: 32
  Date: 2025-01-06 | Event ID: 2694586 | Points: 31
  Date: 2025-01-10 | Event ID: 2694588 | Points: 30
  Date: 2025-01-15 | Event ID: 2694590 | Points: 33
  Date: 2025-01-19 | Event ID: 2694496 | Points: 37
  Date: 2025-01-25 | Event ID: 2693775 | Points: 31
  Date: 2025-01-28 | Event ID: 2694592 | Points: 43
  Date: 2025-01-29 | Event ID: 2694593 | Points: 30
  Date: 2025-01-31 | Event ID: 2694594 | Points: 42
  Date: 2025-02-02 | Event ID: 2694595 | Points: 34
  Date: 2025-02-04 | Event ID: 2694596 | Points: 33
  Date: 2025-02-05 | Event ID: 2694597 | Points: 31
  Date: 2025-02-09 | Event ID: 2694523 | Points: 39
  Date: 2025-02-22 | Event ID: 2694604 | Points: 31
  Date: 2025-02-26 | Event ID: 2694653 | Points: 30
